,Ticker,Asset Class Sistema,Asset Class,Geography / Subclass,Indice,Market
117,WSEEAUH ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,WELLINGTON MANAGEMENT FUNDS IRELAND PLC WELLINGTON STRATEGIC EuropeAN EQUITY FUND,General
118,WSEEBUU ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,WELLINGTON STRAT EUR EQ-D USD AC,General
119,XD5E LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,XTRACKERS MSCI EMU INDEX UCITS ETF,General
120,XDAX GY EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,XTRACKERS DAX UCITS ETF CAPITALISATION,Germany
121,ABEEHIA LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,ABRDN SICAV I SELECT EURO HIGH YIELD BOND FUND,HY
122,AZBSHEI LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,AZ FUND 1 AZ BOND HYBRIDS,General
123,BBFCBIU LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,BLUEBAY FUNDS BLUEBAY FINANCIAL CAPITAL BOND FUND,General
124,BBHYIUB LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,BLUEBAY HIGH YIELD BOND FUND I,HY
125,CABHYSE LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,CANDRIAM BONDS EURO HIGH YIELD,HY
126,DEHYCRC LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,DEUTSCHE INVEST I - EURO HIGH YIELD CORPORATES,HY
127,FOCHYEI LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,BNP PARIBAS L1 BOND EURO HIGH YIELD,HY
128,GAMCOIU ID EQUITY,RENTA FIJA,RENTA FIJA,Europe,GAM STAR FUND PLC GAM STAR CREDIT OPPORTUNITIES USD,General
129,HYGU LN EQUITY,RENTA FIJA,RENTA FIJA,Europe,ISHARES EUR HIGH YIELD CORP BOND UC,HY
130,LAZCAPS FP EQUITY,RENTA FIJA,RENTA FIJA,Europe,LAZARD GLOBAL INVESTMENT FUNDS PLC LAZARD CAPITAL FI SRI,General
131,LAZOCFI FP EQUITY,RENTA FIJA,RENTA FIJA,Europe,LAZARD GLOBAL ACTIVE FUNDS PLC LAZARD CREDIT FI SRI,General
132,MFECA1U LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,MFS MER EURO CREDIT-A1 USD,General
133,NIMEHYB LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,NORDEA 1 EuropeAN HIGH YIELD BOND FUND,HY
134,NOHBIUS LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,NORDEA 1 EuropeAN FINANCIAL DEBT FUND,General
135,PIMCINA ID EQUITY,RENTA FIJA,RENTA FIJA,Europe,PIMCO FUNDS GLOBAL INVESTORS SERIES PLC PIMCO CAPITAL SECURITIES FUND,General
136,ROBFIIH LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,ROBECO CAPITAL GROWTH FUNDS - ROBECO FINANCIAL INSTITUTIONS BONDS,General
137,ROCHBIH LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,ROBECO CAPITAL GROWTH FUNDS ROBECO CORPORATE HYBRID BONDS,General
138,ROECRBI LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,ROBECO CAPITAL GRO F ROBECO EURO CREDIT BONDS,General
139,SLIEKUH LX EQUITY,RENTA FIJA,RENTA FIJA,Europe,ABRDN EURO CORPORATE BONF USD HDG ACC K,General
140,CMOD LN EQUITY,ALTERNATIVE,ALTERNATIVE,Global,INVESCO BLOOMBERG COMMODITY,General
141,GLD US EQUITY,ALTERNATIVE,ALTERNATIVE,Global,SPDR GOLD SHARES,General
142,BBGHYIB LX EQUITY,RENTA FIJA,RENTA FIJA,Global,BLUEBAY FUNDS BLUEBAY GLOBAL HIGH YIELD BOND FUND,HY
143,CAGHYSE LX EQUITY,RENTA FIJA,RENTA FIJA,Global,CANDRIAM BONDS GLOBAL HIGH YIELD,HY
144,GSGHYIA LX EQUITY,RENTA FIJA,RENTA FIJA,Global,GOLDMAN SACHS FUNDS GOLDMAN SACHS GLOBAL HIGH YIELD PORTFOLIO,HY
145,HSAS5CH ID EQUITY,RENTA FIJA,RENTA FIJA,Global,HSBC GLOBAL FUNDS ICAV HSBC GLB AGG BD ID USD ACC S5CH DOI,General
